timestamp_s,reading_value,raw_text,confidence,status,cleaned_value
554.0,6.111,6.111,0.965,OK,6.111
555.0,0.0,0,0.998,OK,0.103
556.0,0.103,0.103,0.818,OK,0.103
557.0,0.11,0.11,0.997,OK,0.11
558.0,6.77,6.77,0.893,OK,4.61
559.0,4.61,4.61,0.91,OK,6.4
560.0,6.4,6.4,0.965,OK,6.14
561.0,6.14,6.14,0.999,OK,6.14
562.0,4.18,4.18,1.0,OK,4.18
563.0,1.11,1.11,0.955,OK,2.51
564.0,2.51,2.51,0.985,OK,2.14
565.0,2.14,2.14,0.901,OK,2.14
566.0,1.11,1.11,1.0,OK,2.14
567.0,6.0,6,0.519,OK,1.11
568.0,1.0,1,0.986,OK,1.21
569.0,1.21,1.21,0.774,OK,1.11
570.0,1.11,1.11,0.988,OK,1.11
571.0,1.02,1.020,0.955,OK,1.02
572.0,0.525,0.525,0.904,OK,1.02
573.0,1.31,1.31,0.815,OK,1.0
574.0,1.0,1,0.991,OK,1.0
575.0,0.37,0.37,0.618,OK,1.0
576.0,4.15,4.15,0.955,OK,4.15
577.0,4.44,4.44,0.606,OK,4.15
578.0,2.292,2.292,0.884,OK,2.66
579.0,2.66,2.66,0.906,OK,2.292
580.0,1.07,1.07,0.999,OK,2.415
581.0,2.415,2.415,0.622,OK,1.07
582.0,1.0,1.0,0.969,OK,2.415
583.0,6.43,6.43,0.932,OK,4.0
584.0,4.0,4.0,0.967,OK,4.0
585.0,2.27,2.27,0.889,OK,4.0
586.0,4.24,4.24,0.869,OK,2.27
587.0,1.21,1.21,0.745,OK,4.24
588.0,7.1,7.10,0.608,OK,3.01
589.0,3.01,3.01,0.904,OK,3.01
590.0,1.8,1.80,0.736,OK,3.01
591.0,7.0,7.0,0.722,OK,6.3
592.0,6.3,6.30,0.808,OK,6.3
593.0,1.22,1.22,0.961,OK,3.41
594.0,3.41,3.41,0.96,OK,3.41
595.0,5.55,5.55,0.954,OK,3.41
596.0,0.06,0.06,0.889,OK,5.55
597.0,6.365,6.365,0.934,OK,1.4
598.0,1.4,1.40,0.991,OK,2.33
599.0,2.33,2.33,0.999,OK,1.4
600.0,0.3,0.30,0.953,OK,0.3
601.0,0.0,0.0,0.999,OK,0.3
602.0,5.352,5.352,0.754,OK,3.4
